geneID	geneLength	geneProduct	BUBUP	BUBUG	BUBUN	BUBUO	BUBUC	BUBUH
650468902	801	OmpA/MotB domain protein	22.02	506.85	12.14	18.68	705.76	745.41
650468903	957	protein of unknown function DUF1385	738.48	275.95	728.03	882.2	450.31	503.92
650468904	909	protein-(glutamine-N5) methyltransferase, release factor-specific	132.81	72.27	124.77	149.54	90.56	105.26
650468905	1071	sporulation integral membrane protein YtvI	1.27	0	0	0	0	0
650468906	1320	electron transport complex, RnfABCDGE type, C subunit	146.95	195.09	119.07	175.72	276.95	213.6
650468907	966	electron transport complex, RnfABCDGE type, D subunit	89.87	136.01	60.38	64.55	198	158.49
650468908	594	electron transport complex, RnfABCDGE type, G subunit	91.35	143.77	90.02	134.36	209.91	120.28
650468909	657	electron transport complex, RnfABCDGE type, E subunit	68.13	115.99	41.93	81.62	140.03	104.86
650468910	588	electron transport complex, RnfABCDGE type, A subunit	175.33	96.08	107.47	165.43	172.93	106.32
650468911	804	electron transport complex, RnfABCDGE type, B subunit	124.85	106.22	108.83	134.94	120.45	88.86
650468912	237	hypothetical protein	0	0	0	5.26	0	0
650468913	510	shikimate kinase (EC 2.7.1.71)	324.49	551.31	400.31	352.11	496.08	562.86
650468914	480	GCN5-related N-acetyltransferase	141.3	93.07	182.28	197.45	249.67	310.98
650468915	426	hypothetical protein	385.29	163.46	395.56	363	460.34	551.05
650468916	804	transcriptional regulator, DeoR family	89.42	127.46	68.52	105.47	155.08	157.1
650468917	1485	glycerol kinase (EC 2.7.1.30)	249.37	49.55	194.22	239.34	106.79	125.43
650468918	837	transketolase subunit A (EC 2.2.1.1)	37.27	10.99	21.29	28.31	18.8	22.86
650468919	942	transketolase subunit B (EC 2.2.1.1)	46.08	15.34	46.44	42.36	17.99	27.09
650468920	1044	Alcohol dehydrogenase GroES domain protein	67.56	30.2	45.01	70.48	25.51	39.11
650468921	1119	hypothetical protein	370.94	51.66	188.24	322.08	90.87	110.59
650468922	1488	ABC transporter related protein	148.59	46.8	118.69	164.26	74.03	85.74
650468923	984	inner-membrane translocator	85.47	64.09	95.5	117.86	87.35	97.24
650468924	615	Phosphoglycerate mutase	163.22	68.36	165.98	190.61	129.91	126.54
650468925	3264	SNF2 helicase associated domain protein	34.08	11.67	30.28	32.86	12.61	13.68
650468926	1809	oligopeptidase F. Metallo peptidase. MEROPS family M03B	10.5	29.05	5.37	13.1	21.41	17.63
650468927	357	MazG nucleotide pyrophosphohydrolase	38	99.37	36.31	45.41	74.6	75.05
650468928	3129	S-layer domain-containing protein	4.34	170.06	2.59	4.38	164.03	177.37
650468930	486	tRNA-adenosine deaminase (EC 3.5.4.-)	136.76	473.1	73.35	112.9	331.28	183.76
650468932	609	Cupin 2 conserved barrel domain protein	0	0	2.66	2.05	0	6.28
650468933	1290	3D domain-containing protein	9.46	45.83	5.02	9.67	26.28	15.82
650468934	1029	transcriptional regulator, LacI family	280.79	200.46	152.74	287.23	335.28	364.52
650468935	3180	S-layer domain-containing protein	80.19	373.5	146.23	133.73	208.61	252.75
650468936	816	peptidase U57 YabG	0	0	0	0	0	1.56
650468937	1959	DNA topoisomerase type IA central domain protein	7.62	8.05	7.44	11.46	7.42	18.89
650468938	858	protein of unknown function DUF368	115.41	38.28	73.65	98.84	71.95	44.61
650468939	849	MscS Mechanosensitive ion channel	9.59	1.55	1.91	7.34	14.26	9.02
650468940	201	protein of unknown function DUF951	20.25	13.07	16.12	18.61	0	6.35
650468941	1179	peptidase S1 and S6 chymotrypsin/Hap	51.77	34.55	76.96	51.83	25.67	17.31
650468942	294	hypothetical protein	13.84	26.81	5.51	4.24	4.12	4.34
650468943	465	CMP/dCMP deaminase zinc-binding protein	980.16	675.3	888.54	986.93	973.63	1004.18
650468944	1629	acetolactate synthase, large subunit (EC 2.2.1.6)	2171.69	117.76	1604.37	2119.02	269.01	436.23
650468945	513	acetolactate synthase, small subunit (EC 2.2.1.6)	1787.48	117.81	1610.81	1990.94	247.77	519.77
650468946	996	ketol-acid reductoisomerase (EC 1.1.1.86)	7856.94	237.45	5672.62	7980.74	532.34	1042.68
650468947	1581	2-isopropylmalate synthase/homocitrate synthase family protein	1270.68	118.84	1088.39	1342.51	224.34	373.62
650468948	258	hypothetical protein	21130.54	3661.51	23117.3	17545.98	2894.95	4401.04
650468949	708	RNA polymerase, sigma 28 subunit, SigI	310.38	72.37	297.51	345.23	82.07	126.14
650468950	1623	hypothetical protein	131.22	21.05	132.78	122.17	23.87	38.52
650468951	381	hypothetical protein	217.18	906.95	225.39	199.66	378.09	304.72
650468952	444	transcriptional regulator, BadM/Rrf2 family	6.11	23.67	3.65	0	13.63	17.24
650468953	996	glutamyl-tRNA reductase (EC 1.2.1.70)	0	2.64	3.25	2.5	1.22	1.28
650468954	474	siroheme synthase	0	0	0	7.89	2.55	2.69
650468955	879	hydroxymethylbilane synthase (EC 2.5.1.61)	6.17	13.45	5.53	1.42	19.28	14.51
650468956	1482	uroporphyrinogen-III synthase (EC 4.2.1.75)/uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107)	37.53	193.27	17.49	13.46	184.6	249.65
650468957	981	Porphobilinogen synthase	116.15	329.47	100.75	78.82	331.94	310.82
650468958	1284	glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)	39.09	70.6	27.76	30.11	65.99	47.69
650468959	1071	sulfate ABC transporter, periplasmic sulfate-binding protein	1751.64	2300.18	1830.57	1498.58	2135.1	2128.73
650468960	849	sulfate ABC transporter, inner membrane subunit CysT	7239.34	9737.15	8181.57	6645.16	7740.83	7352.79
650468961	885	sulfate ABC transporter, inner membrane subunit CysW	90.43	273.17	58.59	60.59	248.94	213.36
650468962	1065	sulfate ABC transporter, ATPase subunit	34.39	106.1	7.61	18.74	98.89	100.63
650468963	720	phosphoadenylylsulfate reductase (thioredoxin) (EC 1.8.4.8)	24.49	62.04	13.5	15.59	52.12	49.61
650468964	882	sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)	649.02	1449.42	451.92	388.83	1235.23	1074.74
650468965	1800	adenylylsulfate kinase (EC 2.7.1.25)/sulfate adenylyltransferase subunit 1 (EC 2.7.7.4)	86.66	130.66	75.61	56.12	112.98	109.86
650468966	210	thiamine biosynthesis protein ThiS	12.92	75.08	0	5.94	46.12	30.38
650468967	813	UBA/THIF-type NAD/FAD binding protein	115.13	1126.4	67.76	61.36	1590.22	1498.64
650468968	420	Mov34/MPN/PAD-1 family protein	19.38	62.57	7.72	14.85	60.53	72.9
650468969	873	nitrite and sulphite reductase 4Fe-4S region	26.41	78.26	12.99	22.86	45.76	35.07
650468970	246	SirA-like domain-containing protein	93.74	176.25	0	65.9	186.99	233.38
650468971	1398	Lipoprotein LpqB, GerMN domain	330.87	615.58	356.97	484.38	348.96	330.36
650468972	582	RNA polymerase, sigma-24 subunit, ECF subfamily	277.36	785.61	386.97	409.26	488.79	495.42
650468973	564	hypothetical protein	0	0	0	0	0	0
650468974	489	hypothetical protein	0	0	0	0	0	0
650468975	183	hypothetical protein	533.7	57.44	256.77	742.79	271.21	474.07
650468976	327	hypothetical protein	124.45	48.22	84.23	171.62	81.44	140.46
650468977	1512	alpha-L-arabinofuranosidase domain protein	27.81	33.89	19.29	38.76	39.23	40.5
650468978	177	hypothetical protein	22.99	44.54	36.62	28.18	41.03	28.83
650468979	975	Dockerin type 1	1.39	5.39	0	1.28	8.69	10.47
650468980	984	glycosyltransferase sugar-binding region containing DXD motif	1.38	5.34	0	1.27	2.46	3.89
650468981	1035	Radical SAM domain protein	0	1.27	0	1.2	0	0
650468982	1023	Radical SAM domain protein	1.33	6.42	0	0	0	0
650468983	1026	Radical SAM domain protein	0	3.84	0	0	0	2.49
650468984	1254	glycosyl transferase group 1	0	3.14	0	0.99	3.86	3.05
650468985	1152	methyltransferase FkbM family	0	4.56	0	2.17	3.15	1.11
650468986	1014	Radical SAM domain protein	1.34	15.55	1.6	1.23	7.16	7.55
650468987	1500	glycosyl transferase family 2	0	11.39	1.08	0.83	6.46	7.65
650468988	918	NAD-dependent epimerase/dehydratase	1.48	11.45	0	1.36	34.29	54.2
650468989	1374	DegT/DnrJ/EryC1/StrS aminotransferase	22.71	37.29	27.12	19.06	39.65	60.35
650468990	549	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)	7.41	62.22	38.37	20.44	50.71	60.42
650468991	1140	CDP-glucose 4,6-dehydratase	4.76	96.81	5.69	3.28	216.62	286.5
650468992	780	glucose-1-phosphate cytidylyltransferase	8.7	160.02	20.77	12.79	392.65	706.6
650468993	1782	hypothetical protein	54.81	38.34	40.92	56.68	50.95	50.83
650468994	1224	transposase mutator type	5.54	5.37	0	3.06	6.92	2.08
650468995	687	hypothetical protein	0	5.74	0	1.82	3.52	1.86
650468996	1362	Radical SAM domain protein	1.99	1.93	0	1.83	0	2.81
650468997	171	Cupin 2 conserved barrel domain protein	0	0	0	0	0	0
650468998	675	hypothetical protein	2.01	1.95	0	3.7	5.38	0
650468999	360	hypothetical protein	0	3.65	0	3.46	3.36	3.54
650469000	210	hypothetical protein	0	12.51	0	0	0	0
650469001	2391	hypothetical protein	3.97	5.5	4.74	1.56	8.61	7.47
650469002	621	hypothetical protein	19.66	12.69	5.22	16.07	33.14	28.76
650469003	768	ABC transporter related protein	0	0	0	0	0	0
650469004	813	binding-protein-dependent transport systems inner membrane component	0	0	0	0	0	0
650469005	1011	hypothetical protein	1.34	0	0	2.47	2.39	3.79
650469006	1293	hypothetical protein	186.74	101.61	164.16	231.47	227.5	246.68
650469007	471	adenylate cyclase	8.64	41.84	13.76	18.53	15.42	24.38
650469008	1521	Ppx/GppA phosphatase	49.05	82.06	53.26	42.63	60.49	50.33
650469009	1107	iron-containing alcohol dehydrogenase	83.32	96.14	54.16	94.63	171.68	148.67
650469010	486	phosphodiesterase, MJ0936 family	69.78	70.29	43.34	25.66	57.29	49.88
650469011	1182	Dihydropteroate synthase (EC 2.5.1.15)	41.31	58.91	60.32	45.37	70.67	88.51
650469012	378	dihydroneopterin aldolase	64.59	45.19	55.72	65.98	70.45	74.25
650469013	516	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	55.21	45.83	53.38	38.67	72.73	69.23
650469014	627	hypothetical protein	112.5	119.44	90.45	105.41	164.11	140.4
650469015	1017	biotin/acetyl-CoA-carboxylase ligase	106.7	87.85	73.29	95.65	148.79	110.39
650469016	789	amidohydrolase 2	183.96	228.14	217.68	153.32	253.15	231.23
650469017	498	hypothetical protein	27.24	84.43	26.03	25.04	80.22	56.36
650469018	768	pantothenate kinase (EC 2.7.1.33)	81.25	116.33	82.28	81.19	137.13	121.27
650469019	1359	hypothetical protein	20.96	4.83	16.69	19.27	9.8	12.2
650469020	1920	glycoside hydrolase family 10	20.49	52.69	32.91	29.88	22.07	11.3
650469021	417	hypothetical protein	474.93	645.91	474.04	457.56	1097.31	1128.95
650469022	468	hypothetical protein	5.8	16.84	17.31	7.99	12.93	19.08
650469023	1083	bacterial peptide chain release factor 1 (bRF-1)	78.91	46.1	59.84	100.18	93.89	100.13
650469024	741	zinc/iron permease	369.78	294.33	249.27	213.74	235.24	297.86
650469025	1056	translation factor SUA5	61.66	90.83	47.57	48.42	136.41	158.27
650469026	480	protein tyrosine phosphatase	969.32	785.58	1201.71	1137.95	1039.04	1150.88
650469027	450	ribose-5-phosphate isomerase (EC 5.3.1.6)	428.04	835.03	428.47	545.94	793.57	603.88
650469028	630	uracil phosphoribosyltransferase (EC 2.4.2.9)	813.89	1001.04	871.87	843.26	1166.34	970.02
650469029	462	CMP/dCMP deaminase zinc-binding protein	604.84	1456.06	683.89	642.43	1362.5	1115.64
650469030	1131	Glycosyl transferase, family 4, conserved region	173.91	374.06	124.64	144.44	355.35	280.88
650469031	1155	UDP-N-acetylglucosamine 2-epimerase	99.83	197.93	64.53	91.78	138.35	109.35
650469032	756	ATP synthase F0 subcomplex A subunit	11515.7	1781.37	11322.69	12342.03	2770.13	4605.39
650469033	222	ATP synthase F0 subcomplex C subunit	940.98	106.53	620.38	932.49	376.25	396.53
650469034	546	ATP synthase F0 subcomplex B subunit	223.6	21.66	139.47	244.39	97.55	156.55
650469035	567	ATP synthase F1 subcomplex delta subunit	232.06	20.86	117.16	178.15	74.72	94.5
650469036	1521	ATP synthase F1 subcomplex alpha subunit	152.5	38.87	139.55	176.28	99.48	130.01
650469037	888	ATP synthase F1, gamma subunit	145.12	31.07	109.48	122.18	96.79	123.56
650469038	1395	ATP synthase F1 subcomplex beta subunit	301.44	78.17	344.96	350.43	190.04	278.03
650469039	408	ATP synthase F1 subcomplex epsilon subunit	325.82	61.18	297.85	320.94	163.18	262.67
650469040	1755	hypothetical protein	51.01	124.27	67.4	53.29	66.91	47.25
650469041	4887	S-layer domain-containing protein	19.15	286.32	26.19	15.31	318.55	388.72
650469042	3831	fibronectin type III domain protein	4.25	169.76	5.08	4.23	129.87	130.54
650469043	861	S-layer domain-containing protein	6.3	241.1	3.76	8.69	199.65	149.66
650469044	753	protein of unknown function DUF1779	104.48	410.04	88.22	120.9	245.96	191.46
650469045	1269	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	40.62	163.59	35.75	32.43	101.12	64.34
650469046	1005	stage II sporulation protein D	1.35	0	0	1.24	0	1.27
650469047	921	Peptidase M23	35.35	34.24	40.46	33.85	28.92	9.7
650469048	264	sporulation transcriptional regulator SpoIIID	0	0	0	0	0	0
650469049	1035	rod shape-determining protein MreB	419.39	139.64	316.23	380.75	245.61	282.28
650469050	780	flagellar hook-basal body protein	8.7	237.51	10.39	12.79	268.49	279.7
650469051	801	flagellar hook-basal body protein	13.55	239.48	6.07	4.67	225.18	207.06
650469052	351	Flagellar protein FlgJ-like protein	1062.77	1763.05	807.83	1104.95	2655.58	3391.25
650469053	1149	exopolysaccharide biosynthesis protein	12.99	21.73	12.69	15.19	18.96	13.32
650469054	351	ABC transporter ATP-binding protein	0	3.74	0	3.55	0	7.27
650469055	441	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.-)	39.99	20.86	25.72	31.11	24.7	40.5
650469056	1410	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)	40.41	29.82	26.43	37.15	42.07	48.86
650469057	819	purine operon repressor, PurR	2777.55	559.88	2641.12	3086.46	1447.02	1984.59
650469058	285	SpoVG family protein	3450.69	12488.64	3342.9	4401.94	9641.76	7341.48
650469059	1386	UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23)/glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)	7.83	14.22	7.01	8.1	35.81	19.33
650469060	963	ribose-phosphate pyrophosphokinase	45.08	69.58	25.24	62.16	67.88	52.99
650469061	570	peptidyl-tRNA hydrolase (EC 3.1.1.29)	28.56	11.53	25.58	41.57	14.87	17.91
650469062	3537	transcription-repair coupling factor	11.89	10.77	6.87	11.28	16.09	11.9
650469063	1095	PpiC-type peptidyl-prolyl cis-trans isomerase	909.27	739.12	762.05	886.05	750.64	667.61
650469064	99	transcriptional regulator, AraC family	246.63	26.54	147.3	264.53	61.14	167.53
650469065	615	transcriptional regulator, AraC family	48.52	4.27	26.35	66.92	45.27	51.86
650469066	435	pyridoxamine 5'-phosphate oxidase-related FMN-binding protein	12.47	18.12	3.72	2.87	13.91	5.87
650469067	1539	integral membrane protein MviN	0	1.71	0	0	0	0.83
650469068	1125	glycosyl transferase group 1	0	0	1.44	0	0	0
650469069	1287	O-antigen polymerase	1.05	0	0	0	0	0
650469070	693	acylneuraminate cytidylyltransferase	0	1.9	0	0	0	0
650469071	1176	UDP-N-acetyl-D-glucosamine 2-epimerase, UDP-hydrolysing	0	0	0	0	0	0
650469072	993	N-acetylneuraminate synthase (EC 2.5.1.56)	0	0	0	0	0	1.28
650469073	645	sugar O-acyltransferase, sialic acid O-acetyltransferase NeuD family	0	0	0	0	0	0
650469074	1047	Nucleotidyl transferase	0	1.25	3.1	0	0	0
650469075	1170	DegT/DnrJ/EryC1/StrS aminotransferase	0	0	0	0	0	1.09
650469076	981	NAD-dependent epimerase/dehydratase	0	0	0	1.27	0	1.3
650469077	1218	Capsule polysaccharide biosynthesis protein	0	1.08	0	0	0	0
650469078	927	ATP-dependent carboxylate-amine ligase domain protein ATP-grasp	0	0	0	0	0	0
650469079	609	sugar transferase	0	2.16	0	0	0	0
650469080	828	HpcH/HpaI aldolase	3.28	0	0	0	0	0
650469081	1824	polysaccharide biosynthesis protein CapD	0	0	0	0	0	0
650469082	333	hypothetical protein	4.07	0	0	0	0	0
650469083	672	lipopolysaccharide biosynthesis protein	0	1.96	0	1.86	0	0
650469084	750	capsular exopolysaccharide family	1.81	0	2.16	0	0	0
650469085	711	Protein-tyrosine-phosphatase	1.91	1.85	2.28	5.26	0	0
650469086	552	stage V sporulation protein T	2.46	2.38	0	2.26	0	0
650469087	786	MazG family protein	63.85	46.8	32.98	61.88	92.41	63.3
650469088	276	histone family protein DNA-binding protein	1194.29	2332.59	452.04	985	1425.44	961.48
650469089	240	RNA-binding S4 domain protein	50.87	98.54	20.25	15.59	90.79	69.11
650469090	291	sporulation protein YabP	4.66	0	0	8.57	4.16	0
650469091	510	spore cortex biosynthesis protein YabQ	0	0	0	0	2.37	5
650469092	282	Septum formation initiator	2708.14	7072.51	3194.6	2507.41	3897.73	3804.8
650469093	423	RNA binding S1 domain protein	580.43	2289.17	555.42	566.05	795.57	603.22
650469096	1257	methyl-accepting chemotaxis sensory transducer	0	28.22	0	0.99	14.45	8.12
650469097	1701	2-octaprenylphenol hydroxylase (EC 1.14.13.-)	42.27	67.2	42.86	45.45	93.23	77.25
650469098	405	Zn-finger containing protein	43.54	58.39	60.01	49.27	53.8	34.65
650469099	2595	ATPase, P-type (transporting), HAD superfamily, subfamily IC	313.11	214.17	396.49	317.17	337.74	411.99
650469100	561	transcriptional regulator, TetR family	4.84	2.34	0	4.45	4.32	6.82
650469101	471	hypothetical protein	51.84	33.47	20.64	42.36	69.39	51.47
650469102	141	hypothetical protein	144.31	121.14	114.91	97.29	111.61	262.4
650469103	258	hydrolase	0	10.19	6.28	0	9.38	19.78
650469104	162	hypothetical protein	8.37	0	10	0	7.47	0
650469105	270	Ribosomal protein L7/L12	0	9.73	0	4.62	17.93	14.18
650469106	423	hypothetical protein	3.21	9.32	11.49	0	8.59	18.1
650469107	669	hypothetical protein	210.87	163.01	210.71	233.01	381.8	453.87
650469108	1431	GumN family protein	398.13	332.37	335.15	448.81	318.07	238.94
650469109	534	hypothetical protein	185.44	246.04	188.12	168.14	192.69	248.47
650469110	1086	hypothetical protein	232.32	476.67	277.51	245.74	506.06	506.33
650469111	2238	peptidase S41	6.67	15.85	11.58	10.59	19.47	25.08
650469115	2397	stage II sporulation protein E, protein serine/threonine phosphatase	11.88	23.57	9.46	13.01	20.2	12.24
650469116	342	hypothetical protein	115.02	280.44	184.77	116.68	233.61	197.71
650469117	684	hypothetical protein	97.17	159.43	135.02	129.45	159.28	195.85
650469119	516	type IV pilus assembly PilZ	2339.66	3203.18	4185.73	2279.04	2069.16	2282.11
650469120	969	tRNA-U20-dihydrouridine synthase	589.35	836.59	635.41	637.05	692.09	509.53
650469121	1104	type IV pilus assembly protein PilM	1972.05	1486.43	1651.1	2269.35	2131.58	2607.08
650469122	504	thioesterase superfamily protein	185.71	23.46	147.88	252.38	112.89	124.04
650469123	1554	stage V sporulation protein B	68.09	37.2	87.58	102.72	57.64	77.17
650469124	171	conserved hypothetical protein	0	245.87	47.38	21.88	219.45	164.14
650469125	1497	transcriptional regulator, GntR family	31.71	32.47	25.98	34.99	36.39	39.2
650469126	906	UbiA prenyltransferase	10.48	8.7	5.37	17.89	12.03	9.86
650469127	537	galactoside O-acetyltransferase	45.47	39.15	51.29	65.02	20.29	28.51
650469128	1104	glycosyl transferase group 1	18.43	13.09	10.27	14.68	17.54	17.33
650469129	498	hypothetical protein	49.03	87.06	58.56	57.6	89.94	79.42
650469130	1599	O-antigen polymerase	82.29	69.02	53.71	77.99	59.05	58.25
650469131	633	hypothetical protein	68.57	220.02	43.51	82.74	474.27	590.54
650469132	1548	carbohydrate kinase, YjeF related protein	77.99	117.98	72.22	83.78	117.3	141.76
650469133	1176	alanine racemase (EC 5.1.1.1)	50.75	117.31	42.71	41.36	108.08	116.08
650469134	288	putative transcriptional regulator, CopG family	3537.2	2048.35	4483.91	4200.2	3778.7	4239.4
650469135	351	transcriptional modulator of MazE/toxin, MazF	170.04	306.94	235.43	191.86	438	341.67
650469136	498	hypothetical protein	612.87	445.87	608.42	588.48	731.67	766
650469137	750	N-acetylmannosaminyltransferase (EC 2.4.1.187)	48.83	17.52	17.28	66.51	9.68	11.91
650469138	2238	polysaccharide pyruvyl transferase CsaB	29.7	31.7	18.82	27.86	43.27	23.37
650469139	906	Protein of unknown function DUF2179	464.14	1561.85	760.07	569.85	565.18	435.13
650469140	846	transketolase subunit A (EC 2.2.1.1)	822.54	1714.55	990.17	927.19	1051.7	829.42
650469141	936	transketolase subunit B (EC 2.2.1.1)	1955.01	1851.48	1729.34	2163.72	991.96	749.67
650469142	1110	ABC transporter related protein	67.21	153.88	70.07	69.66	194.12	160.91
650469143	723	ABC-2 type transporter	52.53	63.6	47.06	34.5	80.37	47.64
650469144	1422	ABC-type uncharacterized transport system	85.85	126.58	58.11	77.17	120.03	94.21
650469145	1479	hypothetical protein	173.34	120.82	106.27	118.05	130.96	131.12
650469146	1110	hypothetical protein	2.44	5.92	1.46	0	6.54	6.9
650469147	1182	hypothetical protein	119.35	126.72	90.47	91.79	188.44	238.54
650469148	720	Colicin V production protein	214.78	63.87	110.27	162.81	102.56	81.51
650469149	1665	dihydroxy-acid dehydratase	702.27	104.95	388.28	649.37	350.44	448.26
650469150	1668	acetolactate synthase, large subunit (EC 2.2.1.6)	2540.55	132.33	2343	2783.48	393.35	586.66
650469151	150	LSU ribosomal protein L33P	108.52	131.39	54.01	91.45	193.68	144.59
650469152	243	preprotein translocase, SecE subunit	167.47	194.65	160.03	148.83	229.15	141.76
650469153	534	transcription antitermination protein nusG	129.55	118.1	94.06	142.46	126.95	138.57
650469154	426	LSU ribosomal protein L11P	353.45	474.97	319.49	395.2	494.44	482.17
650469155	696	LSU ribosomal protein L1P	853.64	222.75	433.01	820.63	274.8	278.62
650469156	537	LSU ribosomal protein L10P	199.56	124.78	159.92	181.14	105.95	128.29
650469157	390	LSU ribosomal protein L12P	323.47	124.65	253.43	188.66	155.2	147.21
650469158	3753	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)	60	128.13	56.56	47.85	103.22	86.01
650469159	3498	DNA-directed RNA polymerase subunit beta' (EC 2.7.7.6)	128.36	156.25	86.62	110.87	166.11	106.13
